date,product_id,product_name,sales_qty,stock_level,lead_time_days,days_until_replenishment,cost_price,unit_price,stockout_event
2025-09-02,P001,Bio-Coffee Beans 1kg,29,186,5,0,12.5,24.99,0
2025-09-03,P001,Bio-Coffee Beans 1kg,24,162,5,0,12.5,24.99,0
2025-09-04,P001,Bio-Coffee Beans 1kg,24,138,5,0,12.5,24.99,0
2025-09-05,P001,Bio-Coffee Beans 1kg,24,114,5,4,12.5,24.99,0
2025-09-06,P001,Bio-Coffee Beans 1kg,33,81,5,3,12.5,24.99,0
2025-09-07,P001,Bio-Coffee Beans 1kg,25,56,5,2,12.5,24.99,0
2025-09-08,P001,Bio-Coffee Beans 1kg,26,30,5,1,12.5,24.99,0
2025-09-09,P001,Bio-Coffee Beans 1kg,20,385,5,0,12.5,24.99,0
2025-09-10,P001,Bio-Coffee Beans 1kg,25,360,5,0,12.5,24.99,0
2025-09-11,P001,Bio-Coffee Beans 1kg,15,345,5,0,12.5,24.99,0
2025-09-12,P001,Bio-Coffee Beans 1kg,28,317,5,0,12.5,24.99,0
2025-09-13,P001,Bio-Coffee Beans 1kg,41,276,5,0,12.5,24.99,0
2025-09-14,P001,Bio-Coffee Beans 1kg,27,249,5,0,12.5,24.99,0
2025-09-15,P001,Bio-Coffee Beans 1kg,24,225,5,0,12.5,24.99,0
2025-09-16,P001,Bio-Coffee Beans 1kg,18,207,5,0,12.5,24.99,0
2025-09-17,P001,Bio-Coffee Beans 1kg,19,188,5,0,12.5,24.99,0
2025-09-18,P001,Bio-Coffee Beans 1kg,25,163,5,0,12.5,24.99,0
2025-09-19,P001,Bio-Coffee Beans 1kg,42,121,5,5,12.5,24.99,0
2025-09-20,P001,Bio-Coffee Beans 1kg,29,92,5,4,12.5,24.99,0
2025-09-21,P001,Bio-Coffee Beans 1kg,28,64,5,3,12.5,24.99,0
2025-09-22,P001,Bio-Coffee Beans 1kg,17,47,5,2,12.5,24.99,0
2025-09-23,P001,Bio-Coffee Beans 1kg,32,15,5,1,12.5,24.99,0
2025-09-24,P001,Bio-Coffee Beans 1kg,15,375,5,0,12.5,24.99,1
2025-09-25,P001,Bio-Coffee Beans 1kg,16,359,5,0,12.5,24.99,0
2025-09-26,P001,Bio-Coffee Beans 1kg,40,319,5,0,12.5,24.99,0
2025-09-27,P001,Bio-Coffee Beans 1kg,36,283,5,0,12.5,24.99,0
2025-09-28,P001,Bio-Coffee Beans 1kg,20,263,5,0,12.5,24.99,0
2025-09-29,P001,Bio-Coffee Beans 1kg,27,236,5,0,12.5,24.99,0
2025-09-30,P001,Bio-Coffee Beans 1kg,23,213,5,0,12.5,24.99,0
2025-10-01,P001,Bio-Coffee Beans 1kg,27,186,5,0,12.5,24.99,0
2025-10-02,P001,Bio-Coffee Beans 1kg,25,161,5,0,12.5,24.99,0
2025-10-03,P001,Bio-Coffee Beans 1kg,41,120,5,4,12.5,24.99,0
2025-10-04,P001,Bio-Coffee Beans 1kg,30,90,5,3,12.5,24.99,0
2025-10-05,P001,Bio-Coffee Beans 1kg,24,66,5,2,12.5,24.99,0
2025-10-06,P001,Bio-Coffee Beans 1kg,22,44,5,1,12.5,24.99,0
2025-10-07,P001,Bio-Coffee Beans 1kg,19,400,5,0,12.5,24.99,0
2025-10-08,P001,Bio-Coffee Beans 1kg,8,392,5,0,12.5,24.99,0
2025-10-09,P001,Bio-Coffee Beans 1kg,28,364,5,0,12.5,24.99,0
2025-10-10,P001,Bio-Coffee Beans 1kg,25,339,5,0,12.5,24.99,0
2025-10-11,P001,Bio-Coffee Beans 1kg,37,302,5,0,12.5,24.99,0
2025-10-12,P001,Bio-Coffee Beans 1kg,24,278,5,0,12.5,24.99,0
2025-10-13,P001,Bio-Coffee Beans 1kg,12,266,5,0,12.5,24.99,0
2025-10-14,P001,Bio-Coffee Beans 1kg,23,243,5,0,12.5,24.99,0
2025-10-15,P001,Bio-Coffee Beans 1kg,23,220,5,0,12.5,24.99,0
2025-10-16,P001,Bio-Coffee Beans 1kg,27,193,5,0,12.5,24.99,0
2025-10-17,P001,Bio-Coffee Beans 1kg,31,162,5,0,12.5,24.99,0
2025-10-18,P001,Bio-Coffee Beans 1kg,39,123,5,3,12.5,24.99,0
2025-10-19,P001,Bio-Coffee Beans 1kg,17,106,5,2,12.5,24.99,0
2025-10-20,P001,Bio-Coffee Beans 1kg,23,83,5,1,12.5,24.99,0
2025-10-21,P001,Bio-Coffee Beans 1kg,25,433,5,0,12.5,24.99,0
2025-10-22,P001,Bio-Coffee Beans 1kg,23,410,5,0,12.5,24.99,0
2025-10-23,P001,Bio-Coffee Beans 1kg,21,389,5,0,12.5,24.99,0
2025-10-24,P001,Bio-Coffee Beans 1kg,30,359,5,0,12.5,24.99,0
2025-10-25,P001,Bio-Coffee Beans 1kg,19,340,5,0,12.5,24.99,0
2025-10-26,P001,Bio-Coffee Beans 1kg,28,312,5,0,12.5,24.99,0
2025-10-27,P001,Bio-Coffee Beans 1kg,22,290,5,0,12.5,24.99,0
2025-10-28,P001,Bio-Coffee Beans 1kg,22,268,5,0,12.5,24.99,0
2025-10-29,P001,Bio-Coffee Beans 1kg,17,251,5,0,12.5,24.99,0
2025-10-30,P001,Bio-Coffee Beans 1kg,21,230,5,0,12.5,24.99,0
2025-10-31,P001,Bio-Coffee Beans 1kg,35,195,5,0,12.5,24.99,0
2025-11-01,P001,Bio-Coffee Beans 1kg,30,165,5,0,12.5,24.99,0
2025-11-02,P001,Bio-Coffee Beans 1kg,22,143,5,0,12.5,24.99,0
2025-11-03,P001,Bio-Coffee Beans 1kg,25,118,5,4,12.5,24.99,0
2025-11-04,P001,Bio-Coffee Beans 1kg,14,104,5,3,12.5,24.99,0
2025-11-05,P001,Bio-Coffee Beans 1kg,32,72,5,2,12.5,24.99,0
2025-11-06,P001,Bio-Coffee Beans 1kg,21,51,5,1,12.5,24.99,0
2025-11-07,P001,Bio-Coffee Beans 1kg,32,394,5,0,12.5,24.99,0
2025-11-08,P001,Bio-Coffee Beans 1kg,44,350,5,0,12.5,24.99,0
2025-11-09,P001,Bio-Coffee Beans 1kg,18,332,5,0,12.5,24.99,0
2025-11-10,P001,Bio-Coffee Beans 1kg,15,317,5,0,12.5,24.99,0
2025-11-11,P001,Bio-Coffee Beans 1kg,15,302,5,0,12.5,24.99,0
2025-11-12,P001,Bio-Coffee Beans 1kg,14,288,5,0,12.5,24.99,0
2025-11-13,P001,Bio-Coffee Beans 1kg,28,260,5,0,12.5,24.99,0
2025-11-14,P001,Bio-Coffee Beans 1kg,38,222,5,0,12.5,24.99,0
2025-11-15,P001,Bio-Coffee Beans 1kg,24,198,5,0,12.5,24.99,0
2025-11-16,P001,Bio-Coffee Beans 1kg,24,174,5,0,12.5,24.99,0
2025-11-17,P001,Bio-Coffee Beans 1kg,26,148,5,0,12.5,24.99,0
2025-11-18,P001,Bio-Coffee Beans 1kg,19,129,5,0,12.5,24.99,0
2025-11-19,P001,Bio-Coffee Beans 1kg,26,103,5,4,12.5,24.99,0
2025-11-20,P001,Bio-Coffee Beans 1kg,21,82,5,3,12.5,24.99,0
2025-11-21,P001,Bio-Coffee Beans 1kg,30,52,5,2,12.5,24.99,0
2025-11-22,P001,Bio-Coffee Beans 1kg,40,12,5,1,12.5,24.99,0
2025-11-23,P001,Bio-Coffee Beans 1kg,12,375,5,0,12.5,24.99,1
2025-11-24,P001,Bio-Coffee Beans 1kg,23,352,5,0,12.5,24.99,0
2025-11-25,P001,Bio-Coffee Beans 1kg,20,332,5,0,12.5,24.99,0
2025-11-26,P001,Bio-Coffee Beans 1kg,21,311,5,0,12.5,24.99,0
2025-11-27,P001,Bio-Coffee Beans 1kg,30,281,5,0,12.5,24.99,0
2025-11-28,P001,Bio-Coffee Beans 1kg,45,236,5,0,12.5,24.99,0
2025-11-29,P001,Bio-Coffee Beans 1kg,35,201,5,0,12.5,24.99,0
2025-11-30,P001,Bio-Coffee Beans 1kg,19,182,5,0,12.5,24.99,0
2025-12-01,P001,Bio-Coffee Beans 1kg,25,157,5,0,12.5,24.99,0
2025-12-02,P001,Bio-Coffee Beans 1kg,15,142,5,0,12.5,24.99,0
2025-12-03,P001,Bio-Coffee Beans 1kg,13,129,5,0,12.5,24.99,0
2025-12-04,P001,Bio-Coffee Beans 1kg,22,107,5,5,12.5,24.99,0
2025-12-05,P001,Bio-Coffee Beans 1kg,30,77,5,4,12.5,24.99,0
2025-12-06,P001,Bio-Coffee Beans 1kg,25,52,5,3,12.5,24.99,0
2025-12-07,P001,Bio-Coffee Beans 1kg,24,28,5,2,12.5,24.99,0
2025-12-08,P001,Bio-Coffee Beans 1kg,14,14,5,1,12.5,24.99,0
2025-12-09,P001,Bio-Coffee Beans 1kg,14,375,5,0,12.5,24.99,1
2025-12-10,P001,Bio-Coffee Beans 1kg,21,354,5,0,12.5,24.99,0
2025-12-11,P001,Bio-Coffee Beans 1kg,21,333,5,0,12.5,24.99,0
2025-12-12,P001,Bio-Coffee Beans 1kg,37,296,5,0,12.5,24.99,0
2025-12-13,P001,Bio-Coffee Beans 1kg,31,265,5,0,12.5,24.99,0
2025-12-14,P001,Bio-Coffee Beans 1kg,16,249,5,0,12.5,24.99,0
2025-12-15,P001,Bio-Coffee Beans 1kg,13,236,5,0,12.5,24.99,0
2025-12-16,P001,Bio-Coffee Beans 1kg,16,220,5,0,12.5,24.99,0
2025-12-17,P001,Bio-Coffee Beans 1kg,26,194,5,0,12.5,24.99,0
2025-12-18,P001,Bio-Coffee Beans 1kg,35,159,5,0,12.5,24.99,0
2025-12-19,P001,Bio-Coffee Beans 1kg,29,130,5,0,12.5,24.99,0
2025-12-20,P001,Bio-Coffee Beans 1kg,22,108,5,5,12.5,24.99,0
2025-12-21,P001,Bio-Coffee Beans 1kg,24,84,5,4,12.5,24.99,0
2025-12-22,P001,Bio-Coffee Beans 1kg,22,62,5,3,12.5,24.99,0
2025-12-23,P001,Bio-Coffee Beans 1kg,11,51,5,2,12.5,24.99,0
2025-12-24,P001,Bio-Coffee Beans 1kg,22,29,5,1,12.5,24.99,0
2025-12-25,P001,Bio-Coffee Beans 1kg,19,385,5,0,12.5,24.99,0
2025-12-26,P001,Bio-Coffee Beans 1kg,32,353,5,0,12.5,24.99,0
2025-12-27,P001,Bio-Coffee Beans 1kg,34,319,5,0,12.5,24.99,0
2025-12-28,P001,Bio-Coffee Beans 1kg,25,294,5,0,12.5,24.99,0
2025-12-29,P001,Bio-Coffee Beans 1kg,20,274,5,0,12.5,24.99,0
2025-12-30,P001,Bio-Coffee Beans 1kg,25,249,5,0,12.5,24.99,0
2025-12-31,P001,Bio-Coffee Beans 1kg,30,219,5,0,12.5,24.99,0
2026-01-01,P001,Bio-Coffee Beans 1kg,33,186,5,0,12.5,24.99,0
2026-01-02,P001,Bio-Coffee Beans 1kg,34,152,5,0,12.5,24.99,0
2026-01-03,P001,Bio-Coffee Beans 1kg,43,109,5,5,12.5,24.99,0
2026-01-04,P001,Bio-Coffee Beans 1kg,11,98,5,4,12.5,24.99,0
2026-01-05,P001,Bio-Coffee Beans 1kg,21,77,5,3,12.5,24.99,0
2026-01-06,P001,Bio-Coffee Beans 1kg,24,53,5,2,12.5,24.99,0
2026-01-07,P001,Bio-Coffee Beans 1kg,28,25,5,1,12.5,24.99,0
2026-01-08,P001,Bio-Coffee Beans 1kg,21,379,5,0,12.5,24.99,0
2026-01-09,P001,Bio-Coffee Beans 1kg,39,340,5,0,12.5,24.99,0
2026-01-10,P001,Bio-Coffee Beans 1kg,32,308,5,0,12.5,24.99,0
2026-01-11,P001,Bio-Coffee Beans 1kg,33,275,5,0,12.5,24.99,0
2026-01-12,P001,Bio-Coffee Beans 1kg,18,257,5,0,12.5,24.99,0
2026-01-13,P001,Bio-Coffee Beans 1kg,24,233,5,0,12.5,24.99,0
2026-01-14,P001,Bio-Coffee Beans 1kg,16,217,5,0,12.5,24.99,0
2026-01-15,P001,Bio-Coffee Beans 1kg,23,194,5,0,12.5,24.99,0
2026-01-16,P001,Bio-Coffee Beans 1kg,33,161,5,0,12.5,24.99,0
2026-01-17,P001,Bio-Coffee Beans 1kg,33,128,5,0,12.5,24.99,0
2026-01-18,P001,Bio-Coffee Beans 1kg,29,99,5,5,12.5,24.99,0
2026-01-19,P001,Bio-Coffee Beans 1kg,25,74,5,4,12.5,24.99,0
2026-01-20,P001,Bio-Coffee Beans 1kg,16,58,5,3,12.5,24.99,0
2026-01-21,P001,Bio-Coffee Beans 1kg,20,38,5,2,12.5,24.99,0
2026-01-22,P001,Bio-Coffee Beans 1kg,21,17,5,1,12.5,24.99,0
2026-01-23,P001,Bio-Coffee Beans 1kg,17,375,5,0,12.5,24.99,1
2026-01-24,P001,Bio-Coffee Beans 1kg,33,342,5,0,12.5,24.99,0
2026-01-25,P001,Bio-Coffee Beans 1kg,21,321,5,0,12.5,24.99,0
2026-01-26,P001,Bio-Coffee Beans 1kg,17,304,5,0,12.5,24.99,0
2026-01-27,P001,Bio-Coffee Beans 1kg,22,282,5,0,12.5,24.99,0
2026-01-28,P001,Bio-Coffee Beans 1kg,22,260,5,0,12.5,24.99,0
2026-01-29,P001,Bio-Coffee Beans 1kg,24,236,5,0,12.5,24.99,0
2026-01-30,P001,Bio-Coffee Beans 1kg,22,214,5,0,12.5,24.99,0
2026-01-31,P001,Bio-Coffee Beans 1kg,25,189,5,0,12.5,24.99,0
2026-02-01,P001,Bio-Coffee Beans 1kg,16,173,5,0,12.5,24.99,0
2026-02-02,P001,Bio-Coffee Beans 1kg,17,156,5,0,12.5,24.99,0
2026-02-03,P001,Bio-Coffee Beans 1kg,30,126,5,0,12.5,24.99,0
2026-02-04,P001,Bio-Coffee Beans 1kg,25,101,5,6,12.5,24.99,0
2026-02-05,P001,Bio-Coffee Beans 1kg,18,83,5,5,12.5,24.99,0
2026-02-06,P001,Bio-Coffee Beans 1kg,26,57,5,4,12.5,24.99,0
2026-02-07,P001,Bio-Coffee Beans 1kg,26,31,5,3,12.5,24.99,0
2026-02-08,P001,Bio-Coffee Beans 1kg,16,15,5,2,12.5,24.99,0
2026-02-09,P001,Bio-Coffee Beans 1kg,15,0,5,1,12.5,24.99,1
2026-02-10,P001,Bio-Coffee Beans 1kg,0,375,5,0,12.5,24.99,1
2026-02-11,P001,Bio-Coffee Beans 1kg,24,351,5,0,12.5,24.99,0
2026-02-12,P001,Bio-Coffee Beans 1kg,13,338,5,0,12.5,24.99,0
2026-02-13,P001,Bio-Coffee Beans 1kg,38,300,5,0,12.5,24.99,0
2026-02-14,P001,Bio-Coffee Beans 1kg,26,274,5,0,12.5,24.99,0
2026-02-15,P001,Bio-Coffee Beans 1kg,21,253,5,0,12.5,24.99,0
2026-02-16,P001,Bio-Coffee Beans 1kg,24,229,5,0,12.5,24.99,0
2026-02-17,P001,Bio-Coffee Beans 1kg,22,207,5,0,12.5,24.99,0
2026-02-18,P001,Bio-Coffee Beans 1kg,10,197,5,0,12.5,24.99,0
2026-02-19,P001,Bio-Coffee Beans 1kg,23,174,5,0,12.5,24.99,0
2026-02-20,P001,Bio-Coffee Beans 1kg,24,150,5,0,12.5,24.99,0
2026-02-21,P001,Bio-Coffee Beans 1kg,33,117,5,4,12.5,24.99,0
2026-02-22,P001,Bio-Coffee Beans 1kg,18,99,5,3,12.5,24.99,0
2026-02-23,P001,Bio-Coffee Beans 1kg,24,75,5,2,12.5,24.99,0
2026-02-24,P001,Bio-Coffee Beans 1kg,27,48,5,1,12.5,24.99,0
2026-02-25,P001,Bio-Coffee Beans 1kg,15,408,5,0,12.5,24.99,0
2026-02-26,P001,Bio-Coffee Beans 1kg,24,384,5,0,12.5,24.99,0
2026-02-27,P001,Bio-Coffee Beans 1kg,31,353,5,0,12.5,24.99,0
2026-02-28,P001,Bio-Coffee Beans 1kg,29,324,5,0,12.5,24.99,0
2026-03-01,P001,Bio-Coffee Beans 1kg,25,299,5,0,12.5,24.99,0
2026-03-02,P001,Bio-Coffee Beans 1kg,24,275,5,0,12.5,24.99,0
2026-03-03,P001,Bio-Coffee Beans 1kg,15,260,5,0,12.5,24.99,0
2026-03-04,P001,Bio-Coffee Beans 1kg,19,241,5,0,12.5,24.99,0
2026-03-05,P001,Bio-Coffee Beans 1kg,17,224,5,0,12.5,24.99,0
2026-03-06,P001,Bio-Coffee Beans 1kg,23,201,5,0,12.5,24.99,0
2026-03-07,P001,Bio-Coffee Beans 1kg,24,177,5,0,12.5,24.99,0
2026-03-08,P001,Bio-Coffee Beans 1kg,27,150,5,0,12.5,24.99,0
2026-03-09,P001,Bio-Coffee Beans 1kg,17,133,5,0,12.5,24.99,0
2026-03-10,P001,Bio-Coffee Beans 1kg,31,102,5,3,12.5,24.99,0
2026-03-11,P001,Bio-Coffee Beans 1kg,23,79,5,2,12.5,24.99,0
2026-03-12,P001,Bio-Coffee Beans 1kg,27,52,5,1,12.5,24.99,0
2026-03-13,P001,Bio-Coffee Beans 1kg,29,398,5,0,12.5,24.99,0
2026-03-14,P001,Bio-Coffee Beans 1kg,33,365,5,0,12.5,24.99,0
2026-03-15,P001,Bio-Coffee Beans 1kg,16,349,5,0,12.5,24.99,0
2026-03-16,P001,Bio-Coffee Beans 1kg,19,330,5,0,12.5,24.99,0
2026-03-17,P001,Bio-Coffee Beans 1kg,17,313,5,0,12.5,24.99,0
2026-03-18,P001,Bio-Coffee Beans 1kg,23,290,5,0,12.5,24.99,0
2026-03-19,P001,Bio-Coffee Beans 1kg,20,270,5,0,12.5,24.99,0
2026-03-20,P001,Bio-Coffee Beans 1kg,29,241,5,0,12.5,24.99,0
2026-03-21,P001,Bio-Coffee Beans 1kg,28,213,5,0,12.5,24.99,0
2026-03-22,P001,Bio-Coffee Beans 1kg,26,187,5,0,12.5,24.99,0
2026-03-23,P001,Bio-Coffee Beans 1kg,22,165,5,0,12.5,24.99,0
2026-03-24,P001,Bio-Coffee Beans 1kg,20,145,5,0,12.5,24.99,0
2026-03-25,P001,Bio-Coffee Beans 1kg,16,129,5,0,12.5,24.99,0
2026-03-26,P001,Bio-Coffee Beans 1kg,32,97,5,5,12.5,24.99,0
2026-03-27,P001,Bio-Coffee Beans 1kg,34,63,5,4,12.5,24.99,0
2026-03-28,P001,Bio-Coffee Beans 1kg,25,38,5,3,12.5,24.99,0
2026-03-29,P001,Bio-Coffee Beans 1kg,18,20,5,2,12.5,24.99,0
2026-03-30,P001,Bio-Coffee Beans 1kg,17,3,5,1,12.5,24.99,0
2026-03-31,P001,Bio-Coffee Beans 1kg,3,375,5,0,12.5,24.99,1
2026-04-01,P001,Bio-Coffee Beans 1kg,20,355,5,0,12.5,24.99,0
2026-04-02,P001,Bio-Coffee Beans 1kg,21,334,5,0,12.5,24.99,0
2026-04-03,P001,Bio-Coffee Beans 1kg,31,303,5,0,12.5,24.99,0
2026-04-04,P001,Bio-Coffee Beans 1kg,32,271,5,0,12.5,24.99,0
2026-04-05,P001,Bio-Coffee Beans 1kg,26,245,5,0,12.5,24.99,0
2026-04-06,P001,Bio-Coffee Beans 1kg,21,224,5,0,12.5,24.99,0
2026-04-07,P001,Bio-Coffee Beans 1kg,30,194,5,0,12.5,24.99,0
2026-04-08,P001,Bio-Coffee Beans 1kg,24,170,5,0,12.5,24.99,0
2026-04-09,P001,Bio-Coffee Beans 1kg,24,146,5,0,12.5,24.99,0
2026-04-10,P001,Bio-Coffee Beans 1kg,41,105,5,4,12.5,24.99,0
2026-04-11,P001,Bio-Coffee Beans 1kg,26,79,5,3,12.5,24.99,0
2026-04-12,P001,Bio-Coffee Beans 1kg,19,60,5,2,12.5,24.99,0
2026-04-13,P001,Bio-Coffee Beans 1kg,20,40,5,1,12.5,24.99,0
2026-04-14,P001,Bio-Coffee Beans 1kg,16,399,5,0,12.5,24.99,0
2026-04-15,P001,Bio-Coffee Beans 1kg,16,383,5,0,12.5,24.99,0
2026-04-16,P001,Bio-Coffee Beans 1kg,27,356,5,0,12.5,24.99,0
2026-04-17,P001,Bio-Coffee Beans 1kg,28,328,5,0,12.5,24.99,0
2026-04-18,P001,Bio-Coffee Beans 1kg,36,292,5,0,12.5,24.99,0
2026-04-19,P001,Bio-Coffee Beans 1kg,25,267,5,0,12.5,24.99,0
2026-04-20,P001,Bio-Coffee Beans 1kg,19,248,5,0,12.5,24.99,0
2026-04-21,P001,Bio-Coffee Beans 1kg,24,224,5,0,12.5,24.99,0
2026-04-22,P001,Bio-Coffee Beans 1kg,22,202,5,0,12.5,24.99,0
2026-04-23,P001,Bio-Coffee Beans 1kg,17,185,5,0,12.5,24.99,0
2026-04-24,P001,Bio-Coffee Beans 1kg,33,152,5,0,12.5,24.99,0
2026-04-25,P001,Bio-Coffee Beans 1kg,43,109,5,5,12.5,24.99,0
2026-04-26,P001,Bio-Coffee Beans 1kg,25,84,5,4,12.5,24.99,0
2026-04-27,P001,Bio-Coffee Beans 1kg,24,60,5,3,12.5,24.99,0
2026-04-28,P001,Bio-Coffee Beans 1kg,21,39,5,2,12.5,24.99,0
